seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS
138,4,6001,1e-06,3,2.34347829670677e-07,0.00011928451564841,8.40741847535785e-05,1,0,0,1.1363798693536
138,4,6001,1e-06,10.2,1.47214505921267e-06,2.8575795347969e-05,0.000801581202199402,1,0,0,1.1363798693536
138,4,6001,1e-06,30,2.36642989771568e-05,8.04978661386716e-05,0.0121645920110148,1,0,0,1.1363798693536
138,4,6001,1e-06,60,0.00299619378305356,0.00562593011695393,0.0840083161455725,1,0,0,1.1363798693536
138,4,6001,1e-06,120,0.102964920114516,0.139481820992619,0.622782900887812,1,0,0,1.1363798693536
138,4,6001,0.0001,3,0.000175594015746434,0.00011928451564841,0.00201027975025284,1,0,0,1.00922618481714
138,4,6001,0.0001,10.2,0.00163088611188893,2.8575795347969e-05,0.0457343308175817,1,0,0,1.00922618481714
138,4,6001,0.0001,30,0.0134598769129378,8.04978661386716e-05,0.984502341602683,1,0,0,1.00922618481714
138,4,6001,0.0001,60,0.034696777100374,0.00562593011695393,7.53294378013383,1,1,0,1.00922618481714
138,4,6001,0.0001,120,0.025721917074136,0.139481820992619,58.9217748425493,1,1,0,1.00922618481714
138,4,6801,1e-08,3,0.00812808143812287,0.0273538869562961,9.78388820305474e-06,0,0,0,22.8319673524291
138,4,6801,1e-08,10.2,0.0394455447591811,0.309981414613486,3.0701926526387e-05,0,0,0,22.8319673524291
138,4,6801,1e-08,30,0.0802608408950703,2.01490787847106,0.00022036857811208,0,0,0,22.8319673524291
138,4,6801,1e-08,60,0.152387131205844,3.7041691653255,0.001160888145643,0,0,0,22.8319673524291
138,4,6801,1e-08,120,5.27183398451413,5.64813108266871,0.00737909542410409,0,0,0,22.8319673524291
138,4,6801,1e-06,3,0.00049540856831076,0.0273538869562961,8.40741847535785e-05,0,0,0,1.33229127233365
138,4,6801,1e-06,10.2,0.00689415161907775,0.309981414613486,0.000801581202199402,0,0,0,1.33229127233365
138,4,6801,1e-06,30,0.00133997898128798,2.01490787847106,0.0121645920110148,1,0,0,1.33229127233365
138,4,6801,1e-06,60,0.698447825567008,3.7041691653255,0.0840083161455725,0,0,0,1.33229127233365
138,4,6801,1e-06,120,9.85171346205759,5.64813108266871,0.622782900887812,0,0,0,1.33229127233365
138,4,6801,0.0001,3,0.00060233961210151,0.0273538869562961,0.00201027975025284,1,0,0,0.969530197560647
138,4,6801,0.0001,10.2,0.00854310418252856,0.309981414613486,0.0457343308175817,1,0,0,0.969530197560647
138,4,6801,0.0001,30,0.00429870453833697,2.01490787847106,0.984502341602683,1,0,0,0.969530197560647
138,4,6801,0.0001,60,0.603939435728354,3.7041691653255,7.53294378013383,1,1,0,0.969530197560647
138,4,6801,0.0001,120,9.12566750874675,5.64813108266871,58.9217748425493,1,1,0,0.969530197560647
138,4,7601,1e-08,3,1.24482730414043e-05,5.08418731329648e-06,9.78388820305474e-06,1,0,0,0.985746706526509
138,4,7601,1e-08,10.2,0.000104903803819252,2.19397841979638e-05,3.0701926526387e-05,1,0,0,0.985746706526509
138,4,7601,1e-08,30,0.0013865133664594,0.000395781905274359,0.00022036857811208,0,0,0,0.985746706526509
138,4,7601,1e-08,60,0.0100101984046907,0.00420626454241805,0.001160888145643,0,0,0,0.985746706526509
138,4,7601,1e-08,120,0.0780532818353269,0.0434629488581721,0.00737909542410409,0,0,0,0.985746706526509
138,4,7601,1e-06,3,2.35763737414405e-05,5.08418731329648e-06,8.40741847535785e-05,1,0,0,0.960336428120374
138,4,7601,1e-06,10.2,0.000153183350366628,2.19397841979638e-05,0.000801581202199402,1,0,0,0.960336428120374
138,4,7601,1e-06,30,0.00172972763658193,0.000395781905274359,0.0121645920110148,1,0,0,0.960336428120374
138,4,7601,1e-06,60,0.0116139639127016,0.00420626454241805,0.0840083161455725,1,0,0,0.960336428120374
138,4,7601,1e-06,120,0.0863321820993936,0.0434629488581721,0.622782900887812,1,0,0,0.960336428120374
138,4,7601,0.0001,3,1.17809006878472e-05,5.08418731329648e-06,0.00201027975025284,1,0,0,0.865623701183157
138,4,7601,0.0001,10.2,0.000119310882250716,2.19397841979638e-05,0.0457343308175817,1,0,0,0.865623701183157
