hiddenCount,T,mode,metric,n,mean,ci95Low,ci95High
7.0,30.0,kalman,postPairDistanceIncrease,30,-0.0002473076184062838,-0.0006586973228810699,7.39517693607441e-05
7.0,30.0,kalman,postPairDistanceDeviation,30,0.0006772051494801195,0.0004369599067841836,0.001026310521348105
7.0,30.0,kalman,meanPredictionError,30,0.1568349223545344,0.1400913782328501,0.17372315641580405
7.0,30.0,kalman,p90PredictionError,30,0.2731416565399999,0.23744819921040347,0.3135114410252804
7.0,30.0,kalman,recoveryTime,30,1.38,1.2,1.7399999999999998
7.0,30.0,kalman-gm,eventGOLoss,30,0.00206818660073118,-0.00011539190647286161,0.004294589796484635
7.0,30.0,kalman-gm,eventGODeviation,30,0.005420927582029468,0.004163561244600897,0.0068470666725271795
7.0,30.0,kalman-gm,postGOLoss,30,0.0019287804064787083,-0.002994717384234122,0.007454041040031457
7.0,30.0,kalman-gm,postGODeviation,30,0.010873562888059208,0.00764782638849387,0.014795078533301791
7.0,30.0,kalman-gm,eventPairDistanceIncrease,30,0.00012299957872475613,7.970546653223575e-05,0.0001739752519090384
7.0,30.0,kalman-gm,eventPairDistanceDeviation,30,0.00013117902929976898,9.015327670664986e-05,0.00017922249332782763
7.0,30.0,kalman-gm,postPairDistanceIncrease,30,0.0009343727728092535,0.0006158401684765997,0.0012990207675406679
7.0,30.0,kalman-gm,postPairDistanceDeviation,30,0.0009569244896613,0.0006463019915675839,0.0013125680043836188
7.0,30.0,kalman-gm,meanPredictionError,30,0.14493672045575004,0.12515045977099315,0.1646359827820314
7.0,30.0,kalman-gm,p90PredictionError,30,0.2747118873144008,0.217838656148062,0.33844211538421337
7.0,30.0,kalman-gm,recoveryTime,30,1.2,1.2,1.2
7.0,30.0,mean,eventGOLoss,30,0.0010521343566103384,-0.001110270869724398,0.0031804517750743254
7.0,30.0,mean,eventGODeviation,30,0.005358274554231522,0.0042146205725436415,0.006557051082499671
7.0,30.0,mean,postGOLoss,30,0.0007376499741799245,-0.005501642715963769,0.006596236180714182
7.0,30.0,mean,postGODeviation,30,0.011865171163203396,0.00793310839389153,0.01700538505809014
7.0,30.0,mean,eventPairDistanceIncrease,30,3.554615021777941e-05,-1.8596638212659856e-06,7.957303685181631e-05
7.0,30.0,mean,eventPairDistanceDeviation,30,8.078936706349679e-05,5.162527565301842e-05,0.0001153196993046468
7.0,30.0,mean,postPairDistanceIncrease,30,7.684128480331917e-05,-0.00018800170487317177,0.00034448158511930793
7.0,30.0,mean,postPairDistanceDeviation,30,0.0005761464903151096,0.0004162104605119757,0.0007571464949862688
7.0,30.0,mean,meanPredictionError,30,0.15718359293461673,0.14032231440844498,0.17417299182195062
7.0,30.0,mean,p90PredictionError,30,0.2743982295754733,0.2381481199420687,0.3156280308806149
7.0,30.0,mean,recoveryTime,30,1.2,1.2,1.2
7.0,30.0,none,eventGOLoss,30,0.001408508379265106,-0.006159267098500689,0.009243731091221733
7.0,30.0,none,eventGODeviation,30,0.018428067867407343,0.014297573754950294,0.023129676636113476
7.0,30.0,none,postGOLoss,30,-0.003508376948440981,-0.018812662712576703,0.011322749673481427
7.0,30.0,none,postGODeviation,30,0.035367237308009246,0.02742410737265523,0.043912412826730106
