hiddenCount,T,mode,metric,n,mean,ci95
7,30,mean,meanPredictionError,30,0.157183592934617,0.0173767615202356
7,30,mean,p90PredictionError,30,0.274398229575473,0.0396097007320395
7,30,mean,recoveryTime,30,1.2,0
7,30,kalman,eventGOLoss,30,0.000257571273390207,0.002982618926167
7,30,kalman,eventGODeviation,30,0.00693578651334244,0.00168063472398121
7,30,kalman,postGOLoss,30,0.000238750650828796,0.00809890049282057
7,30,kalman,postGODeviation,30,0.0174706683461599,0.0051869729689446
7,30,kalman,eventPairDistanceIncrease,30,-2.08128679124576e-05,4.28079530215944e-05
7,30,kalman,eventPairDistanceDeviation,30,9.93138402045102e-05,2.46825632495654e-05
7,30,kalman,postPairDistanceIncrease,30,-0.000247307618406284,0.000374090541663637
7,30,kalman,postPairDistanceDeviation,30,0.000677205149480119,0.000304361986113266
7,30,kalman,meanPredictionError,30,0.156834922354534,0.0172628123901176
7,30,kalman,p90PredictionError,30,0.27314165654,0.0388028397006401
7,30,kalman,recoveryTime,30,1.38,0.3528
7,30,kalman-gm,eventGOLoss,30,0.00206818660073118,0.00222717770142096
7,30,kalman-gm,eventGODeviation,30,0.00542092758202947,0.00138870488751711
7,30,kalman-gm,postGOLoss,30,0.00192878040647871,0.00526559689313067
7,30,kalman-gm,postGODeviation,30,0.0108735628880592,0.00367113900901058
7,30,kalman-gm,eventPairDistanceIncrease,30,0.000122999578724756,4.92625813842222e-05
7,30,kalman-gm,eventPairDistanceDeviation,30,0.000131179029299769,4.68362566241873e-05
7,30,kalman-gm,postPairDistanceIncrease,30,0.000934372772809254,0.000355991956268682
7,30,kalman-gm,postPairDistanceDeviation,30,0.0009569244896613,0.000348207271371418
7,30,kalman-gm,meanPredictionError,30,0.14493672045575,0.0199843895227767
7,30,kalman-gm,p90PredictionError,30,0.274711887314401,0.0614319213113788
7,30,kalman-gm,recoveryTime,30,1.2,0
7,60,none,eventGOLoss,30,-0.00385702250577639,0.0135411072285471
7,60,none,eventGODeviation,30,0.0332092928167263,0.00714176946856011
7,60,none,postGOLoss,30,-0.0254566165721878,0.0248728249606871
7,60,none,postGODeviation,30,0.0565757123025356,0.0172969121316815
7,60,none,eventPairDistanceIncrease,30,0.00317436195405414,0.000740123885730888
7,60,none,eventPairDistanceDeviation,30,0.00317876046282593,0.000738074643158894
7,60,none,postPairDistanceIncrease,30,0.0115871967541632,0.00295465320491468
7,60,none,postPairDistanceDeviation,30,0.0115906971422,0.00295360096117278
7,60,none,recoveryTime,24,6.05,3.13739778631356
7,60,hold,eventGOLoss,30,0.00552693914525794,0.00540469902645573
7,60,hold,eventGODeviation,30,0.0137644440782622,0.00369621594007372
7,60,hold,postGOLoss,30,-0.0050872412217463,0.0154572607415735
7,60,hold,postGODeviation,30,0.033666416723636,0.00986679822696899
7,60,hold,eventPairDistanceIncrease,30,0.0012124778373889,0.0003292562708049
7,60,hold,eventPairDistanceDeviation,30,0.00121486073801837,0.000328398506905522
7,60,hold,postPairDistanceIncrease,30,0.0059703002853033,0.0016965439103786
7,60,hold,postPairDistanceDeviation,30,0.00597690149572649,0.00169422120421177
7,60,hold,meanPredictionError,30,0.328785959551726,0.0438743405694873
7,60,hold,p90PredictionError,30,0.95077143981639,0.208394496541582
7,60,hold,recoveryTime,27,1.21111111111111,0.0217777777777778
7,60,mean,eventGOLoss,30,6.70653909281287e-05,0.0058714075530051
7,60,mean,eventGODeviation,30,0.0149607356977041,0.00310424621243854
7,60,mean,postGOLoss,30,-0.0132856813198604,0.0171267493068957
7,60,mean,postGODeviation,30,0.0382140076032531,0.0112583253104084
7,60,mean,eventPairDistanceIncrease,30,0.000531802959696514,0.000214488871315501
7,60,mean,eventPairDistanceDeviation,30,0.000606323642220295,0.000192526184689369
7,60,mean,postPairDistanceIncrease,30,0.00401492527698751,0.00151249438927011
7,60,mean,postPairDistanceDeviation,30,0.00449010832308315,0.00132383269226844
7,60,mean,meanPredictionError,30,0.157183592934617,0.0173767615202356
7,60,mean,p90PredictionError,30,0.274398229575473,0.0396097007320395
7,60,mean,recoveryTime,25,4.524,3.0853512930621
7,60,kalman,eventGOLoss,30,-0.00217528879159099,0.00714768139335263
7,60,kalman,eventGODeviation,30,0.0177918773163906,0.00365730834667143
7,60,kalman,postGOLoss,30,-0.0173440332631559,0.0181460193148173
7,60,kalman,postGODeviation,30,0.0415502011952468,0.0121368504802753
7,60,kalman,eventPairDistanceIncrease,30,0.000365130983100857,0.00023801109879979
7,60,kalman,eventPairDistanceDeviation,30,0.000646261898909499,0.000157705474319909
7,60,kalman,postPairDistanceIncrease,30,0.00371967842316485,0.00164127042095715
7,60,kalman,postPairDistanceDeviation,30,0.00455254180907522,0.00133480270813365
7,60,kalman,meanPredictionError,30,0.156834922354534,0.0172628123901176
7,60,kalman,p90PredictionError,30,0.27314165654,0.0388028397006401
7,60,kalman,recoveryTime,24,4.475,3.4665552065415
7,60,kalman-gm,eventGOLoss,30,0.00352022322584851,0.00581701168505492
7,60,kalman-gm,eventGODeviation,30,0.0129935656381541,0.0039136219629978
7,60,kalman-gm,postGOLoss,30,-0.00709806334625284,0.0179878314259167
7,60,kalman-gm,postGODeviation,30,0.0372333952940537,0.0122137804310516
7,60,kalman-gm,eventPairDistanceIncrease,30,0.000904747087251372,0.000305715415294613
7,60,kalman-gm,eventPairDistanceDeviation,30,0.000909509843578941,0.000304642370853244
7,60,kalman-gm,postPairDistanceIncrease,30,0.00446080722054381,0.00161175127040997
7,60,kalman-gm,postPairDistanceDeviation,30,0.00463249053165476,0.00155632705776356
7,60,kalman-gm,meanPredictionError,30,0.297465474731263,0.0385281381157931
7,60,kalman-gm,p90PredictionError,30,0.880961693570731,0.200154933797076
7,60,kalman-gm,recoveryTime,24,1.5125,0.6125
11,3,none,eventGOLoss,30,0.000343229105946412,0.000977520176572439
11,3,none,eventGODeviation,30,0.00253924726731585,0.000478503666245733
11,3,none,postGOLoss,30,6.73932907040674e-06,0.00292297937108266
11,3,none,postGODeviation,30,0.00688151568169444,0.00178541696801705
11,3,none,eventPairDistanceIncrease,30,8.12908347539193e-06,3.86916039903086e-06
11,3,none,eventPairDistanceDeviation,30,9.87483422265816e-06,3.3034944791169e-06
11,3,none,postPairDistanceIncrease,30,9.32734932170689e-05,0.000117740244999292
11,3,none,postPairDistanceDeviation,30,0.000243934599939683,8.56154103394494e-05
11,3,none,recoveryTime,30,1.2,0
11,3,hold,eventGOLoss,30,0.000101975658741841,0.000220319148618107
11,3,hold,eventGODeviation,30,0.00046848125225457,0.000177072784827758
11,3,hold,postGOLoss,30,0.000107846027927023,0.000280487480602814
11,3,hold,postGODeviation,30,0.000629652446045611,0.000260574718756609
11,3,hold,eventPairDistanceIncrease,30,8.09485010274067e-07,5.37763229452247e-07
11,3,hold,eventPairDistanceDeviation,30,9.34495303513555e-07,5.13037871296553e-07
11,3,hold,postPairDistanceIncrease,30,1.92013954324764e-05,1.31589790730047e-05
11,3,hold,postPairDistanceDeviation,30,2.61064853889319e-05,1.14909598529089e-05
11,3,hold,meanPredictionError,30,0.024228252953481,0.003735783421701
11,3,hold,p90PredictionError,30,0.036149783277555,0.00452729153418621
11,3,hold,recoveryTime,30,1.2,0
11,3,mean,eventGOLoss,30,6.98160310352275e-05,0.00018033277863748
11,3,mean,eventGODeviation,30,0.000346436958710689,0.000146707557262201
11,3,mean,postGOLoss,30,-6.10822957279522e-05,0.00040992332724975
11,3,mean,postGODeviation,30,0.000741904901755834,0.000360074278902969
11,3,mean,eventPairDistanceIncrease,30,3.68948718989607e-07,5.77212929983742e-07
11,3,mean,eventPairDistanceDeviation,30,8.90354119236214e-07,4.98722999829692e-07
11,3,mean,postPairDistanceIncrease,30,1.75842252369892e-05,1.54857436556447e-05
11,3,mean,postPairDistanceDeviation,30,2.50090310343988e-05,1.4069980133296e-05
11,3,mean,meanPredictionError,30,0.0242415085596803,0.00527053816319157
11,3,mean,p90PredictionError,30,0.0258089078916005,0.000772750176565194
11,3,mean,recoveryTime,30,1.2,0
11,3,kalman,eventGOLoss,30,6.72017584898e-05,0.000182924376947499
