hiddenCount,T,mode,metric,nSeeds,meanDifference,differenceCi95Low,differenceCi95High,meanRelativeReduction,relativeCi95Low,relativeCi95High
7,60.0,kalman-gm,meanPredictionError_vs_hold,30,-0.03132048482046277,-0.0410936242689216,-0.02188088269170241,0.0952610168121712,0.06954258563228022,0.11696163297931575
11,3.0,hold,eventGODeviation,30,-0.0020707660150612777,-0.002572431225257786,-0.0015622961148923328,0.8155038864136356,0.7262297901603133,0.8823129943088874
11,3.0,hold,postPairDistanceDeviation,30,-0.0002178281145507514,-0.0003073256052733786,-0.00014145419446871276,0.8929775218628799,0.8302103331666282,0.9378162594687437
11,3.0,hold,eventGOLoss,30,-0.0002412534472045708,-0.001170290462474302,0.000756688923276598,0.7028933240942495,-5.020448210410942,1.3937077885724007
11,3.0,hold,postPairDistanceIncrease,30,-7.407209778459251e-05,-0.00018381918840530074,4.639701438798219e-05,0.7941387765140266,-3.0790155576105978,0.932615630010582
11,3.0,hold,meanPredictionError_vs_hold,30,0.0,0.0,0.0,0.0,0.0,0.0
11,3.0,mean,eventGODeviation,30,-0.0021928103086051587,-0.0026937249211716687,-0.0017165392457354105,0.8635670644722616,0.7892319957653876,0.9133825198957741
11,3.0,mean,postPairDistanceDeviation,30,-0.00021892556890528445,-0.0003077689217910571,-0.0001390041216311555,0.8974764914834441,0.8025376217929067,0.9499781054583079
11,3.0,mean,eventGOLoss,30,-0.0002734130749111844,-0.001251188369506694,0.0007071962555287698,0.7965905867956089,-3.9131280677264173,1.3070748533154093
11,3.0,mean,postPairDistanceIncrease,30,-7.568926798007976e-05,-0.00018346812212541658,3.7387051840138545e-05,0.8114767161548604,-2.519838352977044,0.9558652209424089
11,3.0,kalman,eventGODeviation,30,-0.0021880060947307915,-0.002686405161898172,-0.0017131880932062485,0.86167508099503,0.788591728908599,0.9119542827488136
11,3.0,kalman,postPairDistanceDeviation,30,-0.00021904259811892323,-0.00030505186198877184,-0.0001375005808655335,0.8979562479987875,0.8100553032159173,0.9522617403339071
11,3.0,kalman,eventGOLoss,30,-0.0002760273474566119,-0.0012239930118729092,0.0007502593065525178,0.8042072850887764,-4.225202078797777,1.3474851129171872
11,3.0,kalman,postPairDistanceIncrease,30,-7.628986777788082e-05,-0.000183940964888199,4.06260791076042e-05,0.8179158423962604,-2.44577013520316,0.9686688890701122
11,3.0,kalman,meanPredictionError_vs_hold,30,1.3259538075616831e-05,-0.0033049288599100598,0.0034188411403333367,-0.0005472758643008887,-0.13426303467939882,0.13140240304914325
