policy,strengthMode,k,trials,successes,successRate,wilsonLower95,wilsonUpper95,meanGO,meanGOPasses,meanGOWilsonLower95,meanGOWilsonUpper95,meanGOPairedDifference,meanLO,meanLOPasses,meanLOWilsonLower95,meanLOWilsonUpper95,meanLOPairedDifference,meanPairDistanceNorm,meanPairDistanceNormPasses,meanPairDistanceNormWilsonLower95,meanPairDistanceNormWilsonUpper95,meanPairDistanceNormPairedDifference,strictJointSuccesses,isotonicSuccessRate
nearest,original,1,100,0,0.0,0,0.03699480747600191,0.20488754220881308,18,0.11700131654251038,0.26667536024213084,-0.4496259944851154,0.36737477453846545,2,0.005501852234968185,0.07001316294199365,-0.41894095007287324,0.3826440577565273,0,0,0.03699480747600191,0.225837638405236,0,0.0
nearest,original,2,100,0,0.0,0,0.03699480747600191,0.21567699921150763,15,0.09305903191162297,0.23283733332157835,-0.4388365374824209,0.38654858911298534,2,0.005501852234968185,0.07001316294199365,-0.39976713549835335,0.3804721790012691,0,0,0.03699480747600191,0.2236657596499778,0,0.0
nearest,original,3,100,0,0.0,0,0.03699480747600191,0.2424039956903593,24,0.16691211265459965,0.3323251872329213,-0.41210954100356917,0.3942790642985162,5,0.02154336145631356,0.11175196527208817,-0.39203666031282247,0.37829334204803916,0,0,0.03699480747600191,0.22148692269674783,0,0.0
nearest,original,4,100,0,0.0,0,0.03699480747600191,0.24345233028636204,27,0.1926946091766482,0.3643230022623127,-0.41106120640756644,0.3938026426792417,7,0.034318824364064096,0.13749671006529757,-0.392513081932097,0.3742003100057237,0,0,0.03699480747600191,0.21739389065443238,0,0.0
nearest,original,5,100,0,0.0,0,0.03699480747600191,0.2589892168484059,26,0.18404578126986462,0.35371172631861636,-0.39552431984552255,0.4059460591900587,7,0.034318824364064096,0.13749671006529757,-0.38036966542128,0.3695266887214383,0,0,0.03699480747600191,0.21272026937014696,0,0.0
nearest,original,6,100,0,0.0,0,0.03699480747600191,0.26389903612057497,28,0.2013955916759837,0.37488212361345724,-0.39061450057335356,0.40783826012434066,11,0.06254131955225126,0.18631463027903022,-0.37847746448699804,0.3651940171575153,0,0,0.03699480747600191,0.20838759780622398,0,0.0
nearest,original,7,100,0,0.0,0,0.03699480747600191,0.300447320512341,39,0.300167219319702,0.48797163832501844,-0.3540662161815875,0.44610737857887667,24,0.16691211265459965,0.3323251872329213,-0.34020834603246203,0.354691101002065,0,0,0.03699480747600191,0.1978846816507737,0,0.0
nearest,original,8,100,2,0.02,0.005501852234968185,0.07001316294199365,0.33864282472680585,49,0.3942183009238615,0.5865215952256586,-0.31587071196712263,0.47133235930667244,27,0.1926946091766482,0.3643230022623127,-0.31498336530466625,0.34434188515845443,0,0,0.03699480747600191,0.18753546580716313,0,0.02
nearest,original,9,100,2,0.02,0.005501852234968185,0.07001316294199365,0.39258958636617997,62,0.5220957382071033,0.7090255079986562,-0.26192395032774857,0.5209236773318515,43,0.3373313900052838,0.5278478830413564,-0.26539204727948723,0.32402279355288977,0,0,0.03699480747600191,0.16721637420159846,0,0.02
nearest,original,10,100,16,0.16,0.10095202349473717,0.24420444558894414,0.40780427100983374,62,0.5220957382071033,0.7090255079986562,-0.24670926568409476,0.546819524009066,53,0.4328868313724773,0.6248934801789626,-0.23949620060227272,0.30336736303952355,8,0.04109296948581091,0.14998266879403072,0.14656094368823225,7,0.16
nearest,original,11,100,33,0.33,0.24562983793895452,0.4269483966028862,0.47355918492382276,77,0.6784543514317231,0.841568452531236,-0.18095435177010574,0.6111136593155431,71,0.6146092505999207,0.7898529302601586,-0.17520206529579568,0.28225802399692357,19,0.1251465399270426,0.27779024070807856,0.12545160464563226,17,0.33
nearest,original,12,100,48,0.48,0.38464384320080547,0.5768359490982345,0.48603697421828124,84,0.7557955544110557,0.8990479765052628,-0.16847656247564727,0.6393943626894223,80,0.7111690380734977,0.8666340774409013,-0.14692136192191646,0.2624436904190729,35,0.2636410465347802,0.4474573957080203,0.10563727106778158,29,0.48
nearest,original,13,100,68,0.68,0.5833719774632081,0.7633098918454312,0.5462458547203727,89,0.8136853697209698,0.9374586804477487,-0.10826768197355585,0.6968185103070041,93,0.8625032899347025,0.965681175635936,-0.08949721430433455,0.2377360771796329,60,0.5020007846184025,0.6906002538863971,0.08092965782834158,57,0.68
nearest,original,14,100,78,0.78,0.6892946528499969,0.849988254963442,0.5513776060966179,88,0.8018773199709163,0.9300066263473222,-0.1031359305973106,0.6987042748612786,89,0.8136853697209698,0.9374586804477487,-0.08761144975006006,0.21683721048714408,71,0.6146092505999207,0.7898529302601586,0.06003079113585277,66,0.78
nearest,original,15,100,85,0.85,0.7671626666784216,0.906940968088377,0.582538197935411,89,0.8136853697209698,0.9374586804477487,-0.07197533875851758,0.7298979812225821,94,0.8752303146877748,0.9722142547333433,-0.056417743388756623,0.19691415443426477,79,0.7001985069803768,0.8583445046835422,0.040107735082973446,74,0.85
nearest,original,16,100,88,0.88,0.8018773199709163,0.9300066263473222,0.6183254554048667,94,0.8752303146877748,0.9722142547333433,-0.03618808128906176,0.7575014693262071,97,0.915479219195973,0.9897456617765851,-0.02881425528513159,0.18903387419904372,85,0.7671626666784216,0.906940968088377,0.03222745484775239,82,0.88
nearest,original,17,100,96,0.96,0.9016278276739262,0.984336949448152,0.6518135619723087,94,0.8752303146877748,0.9722142547333433,-0.0026999747216198662,0.7831413488963309,100,0.9630051925239981,0.9999999999999999,-0.003174375715007822,0.1679306516305493,91,0.8377362530335634,0.9519280048361151,0.011124232279257983,90,0.94
nearest,original,18,100,92,0.92,0.8500173312059693,0.9589070305141891,0.6634411157335965,91,0.8377362530335634,0.9519280048361151,0.00892757903966805,0.790376193054348,96,0.9016278276739262,0.984336949448152,0.004060468443009266,0.15785564254530468,89,0.8136853697209698,0.9374586804477487,0.001049223194013373,85,0.94
nearest,original,19,100,96,0.96,0.9016278276739262,0.984336949448152,0.6545135366939285,95,0.8882480347279118,0.9784566385436864,0.0,0.7863157246113387,95,0.8882480347279118,0.9784566385436864,0.0,0.1568064193512913,95,0.8882480347279118,0.9784566385436864,0.0,88,0.96
random,fixed-total,0,100,0,0.0,0,0.03699480747600191,0.2039686762347308,20,0.1333659225590988,0.28883096192650237,-0.45054486045919767,0.3681768293357537,2,0.005501852234968185,0.07001316294199365,-0.418138895275585,0.38249942222629324,0,0,0.03699480747600191,0.2256930028750019,0,0.0
random,fixed-total,1,100,81,0.81,0.7222097592919214,0.8748534600729574,0.40779783019904525,65,0.5525426042919797,0.7363589534652197,-0.24671570649488325,0.6011340383802662,71,0.6146092505999207,0.7898529302601586,-0.18518168623107253,0.1546846545998823,100,0.9630051925239981,0.9999999999999999,-0.0021217647514090235,62,0.81
random,fixed-total,2,100,88,0.88,0.8018773199709163,0.9300066263473222,0.489014025634887,74,0.6462882736813838,0.8159542187301354,-0.1654995110590415,0.6635883700274816,86,0.7786263961619276,0.914737342455351,-0.12272735458385706,0.14776996704015816,100,0.9630051925239981,0.9999999999999999,-0.009036452311133146,71,0.88
