seed,policy,strengthMode,k,blockSize,nBlocks,meanGO,meanLO,meanPairDistance,passBlocks,passFraction,durationWeightedPass
52,random,fixed-total,15,100,1,0.817858266514352,0.819282064191282,0.155424589683355,1,1,1
52,random,fixed-total,15,100,1,0.748361811154205,0.733443041244833,0.151139495963949,1,1,1
52,random,fixed-total,15,100,1,0.817391300819261,0.82179614859481,0.151359849871889,1,1,1
52,random,fixed-total,15,100,1,0.883580309691671,0.871683429117594,0.153436889761569,1,1,1
52,random,fixed-total,15,100,1,0.937299916985294,0.934521844902683,0.155469813043743,1,1,1
52,random,fixed-total,15,100,1,0.898560469526734,0.903051958108227,0.152465341980318,1,1,1
52,random,fixed-total,15,100,1,0.887017135712295,0.883227327899767,0.151471725394663,1,1,1
52,random,fixed-total,15,100,1,0.862147021117411,0.877093567484512,0.154669417107344,1,1,1
52,random,fixed-total,15,100,1,0.867906819036495,0.894782963999586,0.161003101333328,1,1,1
52,random,fixed-total,15,100,1,0.861335940457613,0.879042716557102,0.160323854988108,1,1,1
52,random,fixed-total,15,100,1,0.849847650070169,0.873538862470175,0.152531147882919,1,1,1
52,random,fixed-total,15,100,1,0.800831865435995,0.833386759435123,0.146640844927717,1,1,1
52,random,fixed-total,15,300,1,0.457818183680257,0.589996092528803,0.193012880978226,1,1,1
52,random,fixed-total,15,300,1,0.635652923804346,0.682646326869051,0.174940109620479,1,1,1
52,random,fixed-total,15,300,1,0.778726090288777,0.777177035574467,0.156858888011777,1,1,1
52,random,fixed-total,15,300,1,0.816444473888379,0.808974206319079,0.151978745199135,1,1,1
52,random,fixed-total,15,300,1,0.907625840741441,0.906933710303559,0.153135626806241,1,1,1
52,random,fixed-total,15,300,1,0.863796593537173,0.883639749347066,0.158665457809593,1,1,1
52,random,fixed-total,15,300,1,0.825339757753082,0.853462810952649,0.149585996405318,1,1,1
52,balanced,fixed-total,15,100,1,0.895509673582088,0.920901171558266,0.173624845137718,1,1,1
52,balanced,fixed-total,15,100,1,0.895376361600577,0.905645846987479,0.169113241013785,1,1,1
52,balanced,fixed-total,15,100,1,0.903116075552771,0.917994628731778,0.166353830739896,1,1,1
52,balanced,fixed-total,15,100,1,0.895305261024293,0.915098673390726,0.162737007695457,1,1,1
52,balanced,fixed-total,15,100,1,0.907376036934936,0.922850369468495,0.162639226913216,1,1,1
52,balanced,fixed-total,15,100,1,0.944725785620923,0.948833372796196,0.163535852789615,1,1,1
52,balanced,fixed-total,15,100,1,0.929024865289024,0.939379761946499,0.161844761464908,1,1,1
52,balanced,fixed-total,15,100,1,0.935954515112691,0.95210877396231,0.157216938068423,1,1,1
52,balanced,fixed-total,15,100,1,0.939527850660304,0.960090704921276,0.152749202245049,1,1,1
52,balanced,fixed-total,15,100,1,0.92625298970179,0.955939356537182,0.148448307381493,1,1,1
52,balanced,fixed-total,15,100,1,0.93080257821616,0.965912145437274,0.14385077501317,1,1,1
52,balanced,fixed-total,15,100,1,0.935327741357247,0.972125147665107,0.139564574153344,1,1,1
52,balanced,fixed-total,15,100,1,0.928638325442231,0.971879631754555,0.135700819870419,1,1,1
52,balanced,fixed-total,15,100,1,0.928535339204342,0.972439257743511,0.132262809778245,1,1,1
52,balanced,fixed-total,15,100,1,0.885870779712566,0.964280262102552,0.126131644790891,1,1,1
52,balanced,fixed-total,15,100,1,0.861872713351195,0.960664738614495,0.115522956593569,1,1,1
52,balanced,fixed-total,15,100,1,0.85641211578174,0.961460430054207,0.107147115467239,1,1,1
52,balanced,fixed-total,15,100,1,0.874072949756905,0.959695637199187,0.102185141550673,1,1,1
52,balanced,fixed-total,15,100,1,0.88027603589858,0.96442254781424,0.100333892297638,1,1,1
52,balanced,fixed-total,15,100,1,0.916073681853545,0.975681705326858,0.0975690113210574,1,1,1
52,balanced,fixed-total,15,300,1,0.898000703578479,0.914847215759175,0.169697305630466,1,1,1
52,balanced,fixed-total,15,300,1,0.915802361193384,0.928927471885138,0.162970695799429,1,1,1
52,balanced,fixed-total,15,300,1,0.93483574368734,0.950526413610028,0.157270300592794,1,1,1
52,balanced,fixed-total,15,300,1,0.930794436425066,0.964658883213188,0.143954552182669,1,1,1
52,balanced,fixed-total,15,300,1,0.914348148119713,0.969533050533539,0.131365091479852,1,1,1
52,balanced,fixed-total,15,300,1,0.864119259629947,0.960606935289297,0.108285071203827,1,1,1
52,balanced,fixed-total,15,300,1,0.898174858876062,0.970052126570549,0.0989514518093477,1,1,1
53,all,original,19,100,1,0.406868434602253,0.558900288171606,0.27876511766128,0,1,0
53,all,original,19,100,1,0.382028019627304,0.532077871016973,0.28632845699636,0,1,0
53,all,original,19,100,1,0.386831628803436,0.573409444511139,0.291517265286183,0,1,0
53,all,original,19,100,1,0.395461576308913,0.608257281894765,0.299120989973498,0,1,0
53,all,original,19,100,1,0.419121085728748,0.689556394004202,0.306833540381196,0,1,0
53,all,original,19,100,1,0.455572197226591,0.740958628216625,0.313600570466579,0,1,0
53,all,original,19,100,1,0.478729169363281,0.75562546622588,0.314891756383744,0,1,0
53,all,original,19,100,1,0.453783260734952,0.790624668125221,0.304954511750968,0,1,0
53,all,original,19,100,1,0.432104316493574,0.773265352968175,0.286238236239125,0,1,0
53,all,original,19,100,1,0.440630711607398,0.750861279204086,0.262112027123399,0,1,0
53,all,original,19,100,1,0.364281280455407,0.715644552738654,0.23215250655845,1,1,1
53,all,original,19,100,1,0.32251390516335,0.696914595382305,0.201407699732785,0,1,0
53,all,original,19,100,1,0.296670875007688,0.594227549220743,0.171593253562168,0,1,0
53,all,original,19,100,1,0.334660565829499,0.527460760376563,0.148598726963194,0,1,0
53,all,original,19,100,1,0.488574874337352,0.581892640627423,0.130576283596863,1,1,1
53,all,original,19,100,1,0.622126804257066,0.703138070497884,0.124770965956493,1,1,1
53,all,original,19,100,1,0.790366942075952,0.905068019002329,0.130847147970522,1,1,1
53,all,original,19,100,1,0.882578550449353,0.954246068049103,0.134371004016782,1,1,1
53,all,original,19,100,1,0.888128594539401,0.904483922399353,0.13198193269183,1,1,1
53,all,original,19,100,1,0.870504656309197,0.87980702564497,0.129845072296922,1,1,1
53,all,original,19,300,1,0.391909361010998,0.554795867899906,0.285536946647941,0,1,0
53,all,original,19,300,1,0.423384953088084,0.679590768038531,0.306518366940425,0,1,0
53,all,original,19,300,1,0.454872248863936,0.773171829106425,0.302028168124613,0,1,0
53,all,original,19,300,1,0.375808632408718,0.721140142441682,0.231890744471545,1,1,1
53,all,original,19,300,1,0.37330210505818,0.567860316741576,0.150256088040742,1,1,1
53,all,original,19,300,1,0.765024098927457,0.854150719183105,0.129996372647932,1,1,1
53,all,original,19,300,1,0.879316625424299,0.892145474022161,0.130913502494376,1,1,1
53,random,fixed-total,7,100,1,0.841794574014466,0.875307440329894,0.233238509025003,1,1,1
53,random,fixed-total,7,100,1,0.845461474356208,0.87296717247204,0.237289867489413,1,1,1
53,random,fixed-total,7,100,1,0.847130972007197,0.842671607989811,0.242028045398448,1,1,1
53,random,fixed-total,7,100,1,0.799472231019253,0.819591831611515,0.241511430007528,1,1,1
53,random,fixed-total,7,100,1,0.768706113427881,0.865190204994275,0.234771433936879,1,1,1
53,random,fixed-total,7,100,1,0.774385864038395,0.853233567383568,0.225752702473653,1,1,1
53,random,fixed-total,7,100,1,0.799156763463627,0.846585292012327,0.223684614410245,1,1,1
53,random,fixed-total,7,100,1,0.833904204007048,0.879509076001251,0.228840580232073,1,1,1
53,random,fixed-total,7,100,1,0.885269260239423,0.890121412970935,0.233619036252655,1,1,1
53,random,fixed-total,7,100,1,0.816667444844498,0.858428304269113,0.232708437435555,1,1,1
53,random,fixed-total,7,100,1,0.754276411673034,0.842542782662376,0.234926554247194,1,1,1
53,random,fixed-total,7,100,1,0.687952072763257,0.82424100544985,0.244155023642667,0,1,0
53,random,fixed-total,7,100,1,0.631262241833544,0.810042077847403,0.256961585854427,0,1,0
53,random,fixed-total,7,100,1,0.482459852865146,0.755206715599043,0.267501006575655,0,1,0
53,random,fixed-total,7,100,1,0.32723957714718,0.680232023538777,0.268818677674419,0,1,0
53,random,fixed-total,7,100,1,0.198124879307848,0.513488159705594,0.25967194235191,0,1,0
53,random,fixed-total,7,100,1,0.132537503553012,0.52134663223894,0.243400625461937,0,1,0
53,random,fixed-total,7,100,1,0.271655191919307,0.601708541336579,0.224854163288687,0,1,0
53,random,fixed-total,7,100,1,0.444392377555494,0.687149171850586,0.204007588909949,1,1,1
53,random,fixed-total,7,100,1,0.562785261062081,0.713342100555214,0.185833010824613,1,1,1
53,random,fixed-total,7,300,1,0.844795673459291,0.863648740263915,0.237518807304288,1,1,1
