profile,N,nNeurons,nSteps,seed,k,policy,strengthMode,meanGO,meanLO,meanPairDistanceNorm,meanNearestDistanceNorm,meanInputAmplitude,meanVisibleNeighbors,meanActiveNeighbors,meanAngularCoverage,meanInputConcentration,meanFieldPeak,meanBumpConcentration,meanSpeed,socialUnionLccFraction,socialAlgebraicConnectivity
quick,12,40,400,2,10,random,fixed-total,0.640626037405127,0.704694835135359,0.380243724436464,0.165369539678909,0.22,11,10,0.721594665140486,0.281271634843693,0.0740383960321901,0.615796623157364,0.635965071928104,1,10.8055972228106
quick,12,40,400,2,10,nearest,original,0.661382226306301,0.702326845845311,0.379157826905074,0.164222990117373,0.2,11,10,0.710687362700246,0.308688706218208,0.0696053906230077,0.615415031987491,0.63594163837354,1,9.00681278433702
quick,12,40,400,2,10,nearest,fixed-total,0.650088497266117,0.694857462338274,0.378827102604314,0.163580050035414,0.22,11,10,0.709058999462785,0.309102071276632,0.0766034371890716,0.614722580665551,0.63589958841385,1,8.98604567521246
quick,12,40,400,2,10,balanced,original,0.625437463991856,0.70690450463494,0.381834894513274,0.165090574189384,0.2,11,10,0.742590334220026,0.247690313324171,0.0618835835811539,0.618481334302904,0.636128780704831,1,9.6754453496848
quick,12,40,400,2,10,balanced,fixed-total,0.637038600029413,0.714567175343471,0.381633880745187,0.165185264842761,0.22,11,10,0.742096624206127,0.246210260495752,0.0679842136402007,0.613111733456409,0.635801363146344,1,9.74732489379891
quick,12,40,400,3,11,all,original,0.0797807434152279,0.177447149227957,0.36972076157639,0.164953538604913,0.22,11,11,0.7584454531001,0.333390226795424,0.0766282001312089,0.612111319076193,0.635738700507172,1,12
quick,12,40,400,3,0,random,original,0.00495700695523144,0.191683464924043,0.370649575032868,0.169104974158894,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,3,0,random,fixed-total,0.00495700695523144,0.191683464924043,0.370649575032868,0.169104974158894,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,3,0,nearest,original,0.00495700695523144,0.191683464924043,0.370649575032868,0.169104974158894,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,3,0,nearest,fixed-total,0.00495700695523144,0.191683464924043,0.370649575032868,0.169104974158894,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,3,0,balanced,original,0.00495700695523144,0.191683464924043,0.370649575032868,0.169104974158894,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,3,0,balanced,fixed-total,0.00495700695523144,0.191683464924043,0.370649575032868,0.169104974158894,0,11,0,0,0,0,0.637274742159118,0.637274742159118,0.0833333333333333,0
quick,12,40,400,3,1,random,original,0.0107141087563817,0.171148203448074,0.371181639044945,0.169390783632237,0.02,11,1,0,1,0.0198746782481112,0.637274742159118,0.637274742159118,1,1.00583385827527
quick,12,40,400,3,1,random,fixed-total,0.0881001449302077,0.35238434803591,0.358644107619202,0.149450440457874,0.22,11,1,0,1,0.218618307773323,0.607634810778285,0.6352900926789,1,1.00583385827527
quick,12,40,400,3,1,nearest,original,0.0167317433035938,0.179362824989787,0.371550005304496,0.164731909180926,0.02,11,1,0,1,0.0198878094443159,0.637274742159118,0.637274742159118,0.333333333333333,1.28585411368385e-16
quick,12,40,400,3,1,nearest,fixed-total,0.127924298340859,0.232621448528795,0.369951101164167,0.122156515461827,0.22,11,1,0,1,0.218363389434155,0.625620794103642,0.63609829914194,0.333333333333333,0
quick,12,40,400,3,1,balanced,original,0.0167317433035938,0.179362824989787,0.371550005304496,0.164731909180926,0.02,11,1,0,1,0.0198878094443159,0.637274742159118,0.637274742159118,0.333333333333333,1.28585411368385e-16
quick,12,40,400,3,1,balanced,fixed-total,0.127924298340859,0.232621448528795,0.369951101164167,0.122156515461827,0.22,11,1,0,1,0.218363389434155,0.625620794103642,0.63609829914194,0.333333333333333,0
quick,12,40,400,3,3,random,original,0.0465496830079014,0.166949114323956,0.370895850255964,0.169176005092657,0.06,11,3,0.384474407068286,0.534577617112729,0.0299809053407854,0.634590008982593,0.637111033383184,1,3.11565120334162
quick,12,40,400,3,3,random,fixed-total,0.15467043209593,0.223599848604837,0.36492299588319,0.158754251434173,0.22,11,3,0.38476976695837,0.533085391137455,0.110249158571109,0.60757535322311,0.635434609122263,1,3.11565120334162
quick,12,40,400,3,3,nearest,original,0.0396145538909587,0.17402861814689,0.371142630149548,0.164593531764443,0.06,11,3,0.383456997307895,0.534619022892352,0.0303824711853172,0.636779779747534,0.637243844117005,1,0.979723327180213
quick,12,40,400,3,3,nearest,fixed-total,0.150676959641078,0.381727181719999,0.361034206949854,0.143935425964024,0.22,11,3,0.334855308453842,0.607328985571706,0.122726053355851,0.617263791196359,0.636048705463934,1,0.618730367600506
quick,12,40,400,3,3,balanced,original,0.0650887871796088,0.18855663952885,0.372675421057058,0.167353922274775,0.06,11,3,0.541849164185332,0.252610958629775,0.0199967802824445,0.633427211876237,0.637038742378217,1,1.49631420184797
quick,12,40,400,3,3,balanced,fixed-total,0.130308077911591,0.209753696312742,0.373351507414655,0.175961412321592,0.22,11,3,0.551752741562004,0.231648368275171,0.0732527989501042,0.612424854732498,0.635756727701897,1,1.33487692724431
quick,12,40,400,3,5,random,original,0.0420489996329582,0.170361160928744,0.370563630475569,0.165627851523004,0.1,11,5,0.537789634820587,0.421986630015576,0.0428886121112547,0.631905399265336,0.636947324726337,1,5.21828496885202
quick,12,40,400,3,5,random,fixed-total,0.117151592377747,0.215870022216129,0.366701040133579,0.16184692877,0.22,11,5,0.535153451702737,0.426969516693062,0.0946905903561861,0.606404224404649,0.635390731266378,1,5.21828496885202
quick,12,40,400,3,5,nearest,original,0.0423337050543641,0.182850409004747,0.371081525076862,0.166558462378839,0.1,11,5,0.503837753302756,0.514526320333514,0.0439513932726566,0.633911376395757,0.637068873269075,1,2.27343007848066
quick,12,40,400,3,5,nearest,fixed-total,0.0696297734654848,0.273805828161296,0.364867556422471,0.160698031490291,0.22,11,5,0.459997900108344,0.578710719762551,0.104268282593241,0.613454337034877,0.635808621850608,1,2.18094700862072
quick,12,40,400,3,5,balanced,original,0.0262006662689808,0.180536803259459,0.372570524331543,0.166983325003173,0.1,11,5,0.713498059840862,0.168658683254792,0.0249854403075132,0.62290869812379,0.636398115449762,1,3.1463009910378
