seed,focal,startIndex,q,tau,T,predictionSquaredError,holdSquaredError,variance,covered,intervalCoversCircle,periodicJump,historyNIS,estimatedStartRate
138,1,6801,1e-06,30,10.2,5.2489060713728e-05,0.00148459526332742,0.000583080421235792,1,0,0,0.679912624856794,-0.00334031030499932
138,1,6801,1e-06,30,30,0.00233183451396658,0.0130041300525606,0.00575039493237488,1,0,0,0.679912624856794,-0.00334031030499932
138,1,6801,1e-06,30,60,0.0134257371486285,0.0419918591868901,0.0227288360249296,1,0,0,0.679912624856794,-0.00334031030499932
138,1,6801,1e-06,30,120,0.0284207217478585,0.072555128523739,0.0712385884144291,1,0,0,0.679912624856794,-0.00334031030499932
138,1,6801,1e-06,60,3,3.03744070652697e-09,0.000167939188539391,7.83227776406567e-05,1,0,0,0.68281977334819,-0.00352062024759713
138,1,6801,1e-06,60,10.2,7.80950647977665e-06,0.00148459526332742,0.000681401019582139,1,0,0,0.68281977334819,-0.00352062024759713
138,1,6801,1e-06,60,30,0.000795702389240685,0.0130041300525606,0.00820406362496337,1,0,0,0.68281977334819,-0.00352062024759713
138,1,6801,1e-06,60,60,0.00471689827031365,0.0419918591868901,0.0410032172224745,1,0,0,0.68281977334819,-0.00352062024759713
138,1,6801,1e-06,60,120,0.00705585512956475,0.072555128523739,0.173077269348732,1,0,0,0.68281977334819,-0.00352062024759713
138,1,6801,1e-06,Inf,3,1.43001783981429e-06,0.000167939188539391,8.40741847535785e-05,1,0,0,0.690042580764677,-0.00371110470879857
138,1,6801,1e-06,Inf,10.2,5.49657165980439e-06,0.00148459526332742,0.000801581202199402,1,0,0,0.690042580764677,-0.00371110470879857
138,1,6801,1e-06,Inf,30,1.01852543130087e-07,0.0130041300525606,0.0121645920110148,1,0,0,0.690042580764677,-0.00371110470879857
138,1,6801,1e-06,Inf,60,0.00043134240794954,0.0419918591868901,0.0840083161455725,1,0,0,0.690042580764677,-0.00371110470879857
138,1,6801,1e-06,Inf,120,0.032038718790236,0.072555128523739,0.622782900887812,1,0,0,0.690042580764677,-0.00371110470879857
138,1,6801,1e-05,1,3,0.000217626824532494,0.000167939188539391,3.91769275830712e-05,0,0,0,1.34896839900946,-0.000945609952495702
138,1,6801,1e-05,1,10.2,0.00162219217715998,0.00148459526332742,0.000110959928978365,0,0,0,1.34896839900946,-0.000945609952495702
138,1,6801,1e-05,1,30,0.0134053831599949,0.0130041300525606,0.000308959766410041,0,0,0,1.34896839900946,-0.000945609952495702
