seed,focal,startIndex,q,T,kalmanSquaredError,holdSquaredError,variance,covered
101,3,61,1e-06,30,0.00294346780908679,0.00104645160030325,0.0175581569974071,1
101,3,61,1e-06,60,0.00965352344819801,0.00567709033491277,0.105439709753164,1
101,3,61,1e-06,120,0.0444154163962577,0.0187255990268407,0.70847130360818,1
101,3,41,0.0001,30,0.0184982863218614,1.65181599967649,1.68021537013102,1
101,3,41,0.0001,60,1.06450959619379,3.27889716958426,10.3200544534141,1
101,3,41,0.0001,120,6.56248404187905,3.8558915129501,70.0789037415827,1
101,3,61,0.0001,30,0.00326028502580871,0.00104645160030325,1.68021537013102,1
101,3,61,0.0001,60,0.0107232909168976,0.00567709033491277,10.3200544534141,1
101,3,61,0.0001,120,0.0488243149291222,0.0187255990268407,70.0789037415827,1
101,4,41,1e-08,30,6.72624843892101,6.91847198922202,0.000511393838153745,0
101,4,41,1e-08,60,3.11840772746855,4.5740389927553,0.00188882742211014,0
101,4,41,1e-08,120,4.18423011106349,0.607361564734487,0.00965274561946435,0
101,4,61,1e-08,30,1.35310415603961,0.573823845795894,0.000511393838153745,0
101,4,61,1e-08,60,3.83528311261904,1.11506047477711,0.00188882742211014,0
101,4,61,1e-08,120,0.856653702580162,0.941439736362601,0.00965274561946435,0
101,4,41,1e-06,30,2.38313059582268,6.91847198922202,0.0175581569974071,0
101,4,41,1e-06,60,0.00662521569584578,4.5740389927553,0.105439709753164,1
101,4,41,1e-06,120,1.95112656143545,0.607361564734487,0.70847130360818,1
101,4,61,1e-06,30,2.11881542259773,0.573823845795894,0.0175581569974071,0
101,4,61,1e-06,60,6.02110849713621,1.11506047477711,0.105439709753164,0
101,4,61,1e-06,120,3.33795167708245,0.941439736362601,0.70847130360818,0
101,4,41,0.0001,30,2.25004684924642,6.91847198922202,1.68021537013102,1
101,4,41,0.0001,60,0.0260291934702895,4.5740389927553,10.3200544534141,1
101,4,41,0.0001,120,2.40002346417686,0.607361564734487,70.0789037415827,1
101,4,61,0.0001,30,2.1337208504639,0.573823845795894,1.68021537013102,1
101,4,61,0.0001,60,6.06346116263572,1.11506047477711,10.3200544534141,1
101,4,61,0.0001,120,3.39528139389673,0.941439736362601,70.0789037415827,1
101,5,41,1e-08,30,0.0568548917719676,0.000536889991971708,0.000511393838153745,0
101,5,41,1e-08,60,0.384063209988267,0.022245329844109,0.00188882742211014,0
101,5,41,1e-08,120,1.79831679060193,5.39265369847449,0.00965274561946435,0
101,5,61,1e-08,30,0.0023703108342878,0.000228261251212925,0.000511393838153745,0
101,5,61,1e-08,60,0.00906494084294884,0.00114091532603068,0.00188882742211014,0
101,5,61,1e-08,120,0.0309913594278533,0.00694394271298448,0.00965274561946435,1
101,5,41,1e-06,30,0.196697086945782,0.000536889991971708,0.0175581569974071,0
101,5,41,1e-06,60,0.982025561145234,0.022245329844109,0.105439709753164,0
101,5,41,1e-06,120,0.406288825695527,5.39265369847449,0.70847130360818,1
101,5,61,1e-06,30,0.00175705468609271,0.000228261251212925,0.0175581569974071,1
101,5,61,1e-06,60,0.00641503553418797,0.00114091532603068,0.105439709753164,1
101,5,61,1e-06,120,0.0208030531414626,0.00694394271298448,0.70847130360818,1
101,5,41,0.0001,30,0.199282512895055,0.000536889991971708,1.68021537013102,1
101,5,41,0.0001,60,0.991298354880883,0.022245329844109,10.3200544534141,1
101,5,41,0.0001,120,0.395912096242546,5.39265369847449,70.0789037415827,1
101,5,61,0.0001,30,0.00158839799430035,0.000228261251212925,1.68021537013102,1
101,5,61,0.0001,60,0.00579830652154035,0.00114091532603068,10.3200544534141,1
101,5,61,0.0001,120,0.0186365556810222,0.00694394271298448,70.0789037415827,1
101,6,41,1e-08,30,0.000272474264819938,0.0397040061804919,0.000511393838153745,1
101,6,41,1e-08,60,0.0022872565413951,0.158628235587602,0.00188882742211014,1
101,6,41,1e-08,120,0.0515180783779785,0.462146814686651,0.00965274561946435,0
